Ponto;intact_rock_strength;weathering;discontinuity_spacing;discontinuity_persistence;discontinuity_aperture;presence_of_water
1510;5;2;0,4;3;5;1
1511;5;2;0,4;3;5;1
1512;5;2;3;4;3;1
1513;0;6;20;1;1;1
1514;0;6;20;1;1;1
1515;0;6;0,6;4;2;1
1516;0;6;0,7;4;2;1
1517;0;5;0,9;4;2;1
1518;0;6;2;5;3;1
1519;0;6;0,7;4;2;1
1520;5;2;1,8;3;2;1
1521;5;2;1,8;3;2;1
1522;5;2;1,4;3;2;1
1523;5;2;1,4;3;2;1
1524;1;6;0,5;2;3;1
1525;0;6;10;1;1;1
1526;0;6;10;1;1;1
1527;0;6;10;1;1;1
1528;0;6;10;1;1;1
1529;0;6;0,6;4;2;1
1530;0;6;0,7;2;2;1
1531;0;6;10;4;2;1
1532;0;6;20;1;2;1
1533;0;6;0,3;3;3;1
1534;0;6;8;4;2;1
1535;0;6;0,7;3;2;1
1536;1;5;1,2;3;5;1
1537;1;5;2;2;2;1
1538;1;5;2,5;2;1;1
1539;1;5;1;2;2;1
1540;1;5;0,1;1;5;1
1541;1;5;6;4;3;1
1542;1;5;8;1;2;1
1543;1;5;2,5;3;2;1
1544;1;5;11;3;5;1
1545;1;5;5;3;2;1
1546;1;5;0,6;4;5;1
1547;1;5;0,1;5;1;1
1548;1;5;0,3;3;2;1
1549;1;5;0,6;4;2;1
1550;1;5;3;3;1;1
1551;3;4;0,1;3;1;1
1552;3;4;0,6;3;1;1
1553;3;4;1,2;4;1;1
1554;3;4;0,6;3;1;1
1555;3;4;0,8;3;2;1
1556;3;4;0,9;1;1;1
1557;3;4;0,7;1;1;1
1558;3;4;1;4;3;1
1559;2;5;40;1;1;1
1560;2;5;1;2;1;1
1561;2;5;0,6;2;1;1
1562;2;5;0,2;3;1;1
1563;2;5;0,3;1;2;1
1564;2;5;0,8;3;1;1
1565;2;5;0,2;5;2;1
1566;0;6;0,4;5;4;1
1567;0;6;0,1;1;4;1
1568;0;6;0,8;3;2;1
1569;0;6;0,8;3;4;1
1570;0;6;0,8;3;2;1
1571;0;6;0,9;4;2;1
1572;0;6;0,9;3;2;1
1573;1;5;4;4;4;1
1574;1;5;1;5;2;1
1575;1;5;0,4;3;1;1
1576;1;5;6;4;2;1
1577;1;5;2;5;3;1
1578;0;6;11;2;1;1
1579;0;6;10;4;1;1
1580;0;6;0,4;3;2;1
1581;0;6;0,4;3;2;1
1582;0;6;0,3;3;2;1
1583;0;6;20;1;1;1
1584;0;6;1,8;3;1;1
1585;0;6;50;1;1;1
1586;0;6;50;1;2;1
1587;0;6;0,4;4;5;1
1588;0;6;0,2;2;5;1
1589;0;6;0,3;5;5;1
1590;0;6;0,6;3;2;1
1591;0;6;0,5;4;2;1
1592;0;6;0,7;4;2;1
1593;0;6;1;4;2;1
1594;0;6;0,8;4;2;1
1595;0;6;1,2;3;2;1
1596;0;6;1,2;3;2;1
1597;0;6;1,2;3;2;1
1598;0;6;1,2;3;2;1
1599;0;6;1,2;3;2;1
1600;0;6;1,2;3;2;1
1601;0;6;0,1;1;2;1
1602;0;6;0,1;1;3;1
1603;0;6;0,6;1;3;1
1604;0;6;1;3;2;1
1605;0;6;0,7;4;2;1
1606;0;6;0,2;1;3;1
1607;0;6;0,2;1;3;1
1608;0;6;0,2;1;3;1
1609;0;6;0,2;1;3;1
1610;0;6;1,5;4;2;1
1611;0;6;0,3;3;2;1
1612;0;6;1,2;4;2;1
1613;0;6;1,5;3;2;1
1614;0;6;1,5;3;2;1
1615;0;6;3;2;1;1
1616;0;6;1,5;3;2;1
1617;0;6;1,3;5;4;1
1618;0;6;1;5;4;1
1619;0;6;1,5;3;2;1
1620;0;6;1,4;4;3;1
1621;0;6;1,3;4;3;1
1622;2;3;0,08;1;2;1
1623;2;3;0,08;1;2;1
1624;2;3;0,1;3;3;1
1625;2;3;0,1;3;3;1
1626;2;3;0,1;1;3;1
1627;2;3;0,1;1;3;1
1628;3;3;0,5;1;3;1
1629;3;3;0,5;1;3;1
1630;3;3;0,5;3;1;1
1631;3;3;0,5;3;1;1
1632;3;3;0,5;1;2;1
1633;3;3;0,5;1;2;1
1634;2;4;0,05;1;3;1
1635;2;4;0,05;1;3;1
1636;2;4;1;1;3;1
1637;2;4;1;1;3;1
1638;2;4;0,05;1;1;1
1639;3;3;0,05;1;2;1
1640;3;3;0,05;1;2;1
1641;3;3;1;1;1;1
1642;1;4;0,15;1;5;1
1643;1;4;0,15;1;5;1
1644;1;4;0,5;1;5;1
